当前台风时间,台风编号,台风中文名称,台风英文名称,台风起始时间,台风结束时间,经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,场站距离_km,target_time,方位角,相对方位角,移动速度(m/s),移动方向(°),rmax,b,hollandvg,rmax-ym,b-ym,hollandvg-ym,ym风速,ym风速(<=250km),rmax_i,b_i,hollandvg_i,rmax_ym_i,b_ym_i,hollandvg_ym_i,ym风速_i,ym风速250_i,hollandvg_az,rmax_az,b_az,atten_w
2024-08-29 06:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.225,31.766666666666666,强台风(STY),14,45,949,北,9.444444444583333,817.50065492185,2024-08-29 06:15:00,280.8369393685765,-111.67349638451616,4.884341108804672,32.51043575309268,40.49637362580667,1.5340789833333333,1.1229093805428008,55.90776802201361,1.3491844639559727,2.56140021927677,2.4670519289492696,,19.510839002464436,1.0377375095121315,1.6697026511062631,19.510839002464436,1.7583333333333333,0.1998613914469729,0.1995969055975577,,0.2057209568923426,18.254011476468648,1.7130267889467978,0.18754858092692045
2024-08-29 06:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.25,31.8,强台风(STY),14,44,950,北,9.3333333335,819.1343177324846,2024-08-29 06:30:00,280.5659543097064,-111.93510670460694,4.883832304773508,32.501061014313336,40.80003013447839,1.5251469,1.1338993091664378,56.148501871479,1.347702996257042,2.528844734971287,2.4368516120784176,,19.892220660854854,1.0086637771468696,1.7975782265196685,19.892220660854854,1.75,0.2074539539925908,0.20716914657345406,,0.2133776886606995,18.59613579753202,1.7043912457138912,0.18688968019011068
2024-08-29 06:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.275,31.833333333333336,强台风(STY),14,43,951,北,9.222222222416669,820.7863842400723,2024-08-29 06:45:00,280.2961069247683,-112.19556861281546,4.883323153716451,32.491675537583774,41.10178248391159,1.516214816666667,1.144299955089778,56.38688898453477,1.3462262220309302,2.4956843125616075,2.406059418213323,,20.281245553761494,1.0,1.8333648078354514,20.281245553761494,1.7416666666666667,0.21519944964758508,0.21489314550218433,,0.22117615183117323,18.944930076275153,1.6957638424615318,0.18622591709915778
2024-08-29 07:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.3,31.866666666666667,强台风(STY),14,43,952,北,9.111111111333331,822.4567344981596,2024-08-29 07:00:00,280.0274025086948,-112.45487681178952,4.88281365621375,32.48227932048434,41.401554978787146,1.5072827333333334,1.1540863069944152,56.622890731429806,1.3447542185371404,2.461931812890157,2.374685706464176,,20.281808887094826,1.0,1.7949259556237038,20.281808887094826,1.7333333333333334,0.21576943063575982,0.21546164753309152,,0.22178803172215567,18.93066621585941,1.6871445413339852,0.18555740323542508
2024-08-29 07:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.325,31.9,强台风(STY),14,42,952,北,9.00000000025,824.1452483009367,2024-08-29 07:15:00,279.7598461075645,-112.71302625304338,4.8823038128488125,32.47287236060782,41.45608897214374,1.50699025,1.1506443934684896,56.660651910912016,1.344678696178176,2.451880093357808,2.365361442768347,,20.678630418463953,1.0,1.8198703645261958,20.678630418463953,1.7333333333333334,0.22169704529043344,0.2213722880103397,,0.22776144854187663,19.286068616477856,1.6866421600541983,0.18488424997568245
2024-08-29 07:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.35,31.933333333333334,强台风(STY),13,41,953,北,8.888888889166665,825.8518052123985,2024-08-29 07:30:00,279.49344252113013,-112.97001213437034,4.881793624203266,32.46345465550047,41.75419811941011,1.4980581666666668,1.159721723647742,56.89438569990491,1.34321122860019,2.4175964445561107,2.3334512295294245,,21.083405071143908,1.0,1.8141131181191739,21.083405071143908,1.725,0.2296718322019018,0.22932348140119654,,0.23576410011374094,19.64840576084612,1.6780365460055287,0.18420656845642788
2024-08-29 07:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.375,31.96666666666667,强台风(STY),13,41,954,北,8.777777778083333,827.5762845950136,2024-08-29 07:45:00,279.2281963054231,-113.225829897287,4.881283090857703,32.454026202710054,42.0501733969404,1.4891260833333335,1.168137532973077,57.12565603406282,1.3417486879318743,2.3827532331703978,2.300986529932852,,21.08396840447724,1.0,1.7748405629412645,21.08396840447724,1.7166666666666668,0.23004251719653723,0.22969320520269504,,0.2361665790303178,19.63384981355765,1.6694389304077437,0.18352446953935797
2024-08-29 08:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.0,台风(TY),13,40,955,北,8.666666667,829.3185656379799,2024-08-29 08:00:00,278.9641117754341,-95.30206481606604,5.311875525607997,14.26617659150014,42.34393925521758,1.4801940000000002,1.1625461110845237,57.354425091661895,1.340291149816676,2.321607790570404,2.2439156721772147,,21.49685580201373,1.0,1.7568255285791778,21.49685580201373,1.7083333333333333,0.23646146783146804,0.23609258792419072,,0.23793449471816785,21.14612967606011,1.6971845934923875,0.20987277532366228
2024-08-29 08:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.05,台风(TY),13,40,956,北,8.555555555833333,828.4703691150745,2024-08-29 08:15:00,278.5864480324163,-81.41355196758377,6.177495924697795,0.0,42.66349066748157,1.4711156750000003,1.165636600561271,57.59985210056357,1.338800295798873,2.2761742280682,2.201471741391526,,21.49770080201373,1.0,1.7158547036010106,21.49770080201373,1.7,0.23691257915084662,0.2365425515025256,,0.23445080208217917,22.07828419891674,1.7183646015697207,0.26155509088750517
2024-08-29 08:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.1,台风(TY),13,40,957,北,8.444444444666667,827.6584453561159,2024-08-29 08:30:00,278.20802459035525,-81.79197540964469,6.177495924697795,0.0,42.98108133820914,1.46203735,1.1810594737308406,57.84285864776624,1.3373142827044673,2.254963062893744,2.181659761311712,,21.49854580201373,1.0,1.6857628977293189,21.49854580201373,1.6916666666666667,0.2388195148634793,0.23844377454055796,,0.23647569846875882,22.05374280989369,1.7091414908768814,0.26189908530399325
2024-08-29 08:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.15,台风(TY),13,40,958,北,8.333333333499999,826.8829012135077,2024-08-29 08:45:00,277.82887255635546,-82.17112744364454,6.177495924697795,0.0,43.296631823641306,1.4529590250000002,1.195735838374432,58.08340530022386,1.3358331893995523,2.2327506355439084,2.16136612997807,,21.49939080201373,1.0,1.6554853986600477,21.49939080201373,1.6833333333333333,0.24061996365485783,0.24023880764936856,,0.23839472558168495,22.029126211049647,1.6999239666231585,0.26222808892578586
2024-08-29 09:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.2,台风(TY),13,40,958,北,8.222222222333333,826.1438391441772,2024-08-29 09:00:00,277.4490234137194,-82.55097658628063,6.177495924697795,0.0,43.38220526105447,1.4525203,1.2011163867255306,58.14151775690969,1.3357169644861806,2.237431409478525,2.1653297588715974,,21.50023580201373,1.0,1.6561464937437407,21.50023580201373,1.6833333333333333,0.2408735704152889,0.2404918724466019,,0.23875805990996213,22.00443749177103,1.6991236626842692,0.2625420006035578
2024-08-29 09:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.25,台风(TY),13,40,959,北,8.111111111166666,825.4413571437117,2024-08-29 09:15:00,277.06850900774907,-82.93149099225093,6.177495924697356,0.0,43.69625563408675,1.443441975,1.2149083561304792,58.37980352676253,1.3342403929464748,2.213974813946443,2.143848897552552,,21.50108080201373,1.0,1.6255526234247242,21.50108080201373,1.675,0.24253507659435058,0.24214836811329504,,0.2405382620710128,21.979679787152186,1.6899137302908391,0.2628407234774527
2024-08-29 09:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.3,台风(TY),13,40,960,北,8.0,824.7755486829672,2024-08-29 09:30:00,276.68736153109046,-83.31263846890954,6.177495924697795,0.0,44.00810273357643,1.43436365,1.2278561711780256,58.61554884272747,1.332768902314545,2.189524888919621,2.120947236774865,,21.50192580201373,1.0003277128729284,1.593485279614292,21.50192580201373,1.6666666666666667,0.24407766318734048,0.24368629567152808,,0.2421996928940402,21.954856276239816,1.6807097645856344,0.26312416505575525
2024-08-29 09:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.35,台风(TY),13,40,961,北,7.888888888833333,824.1465026472464,2024-08-29 09:45:00,276.3056135086342,-83.69438649136578,6.177495924697795,0.0,44.31766717009992,1.4252853250000002,1.2399144599332883,58.84871510041222,1.3313025697991754,2.1640863650891973,2.0970991308231164,,21.50277080201373,1.0207425641560495,1.4845377452009814,21.50277080201373,1.6583333333333332,0.24549518713799046,0.24509953829208295,,0.24373601627767272,21.929970180212475,1.6715118948381587,0.2633922372900845
2024-08-29 10:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.4,台风(TY),13,40,962,北,7.777777777666667,823.5543032781378,2024-08-29 10:00:00,275.92329778199127,-84.07670221800868,6.177495924697795,0.0,44.62486969073655,1.4162070000000002,1.251037964197245,59.07926400584377,1.3298414719883125,2.137664758300737,2.072307708367205,,21.50361580201373,1.0420080342426339,1.3785457481049974,21.50361580201373,1.65,0.24678137720924553,0.24638185116989447,,0.24514076425364095,21.905024760497977,1.662320249535652,0.26364485664785436
2024-08-29 10:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.45,台风(TY),13,40,962,北,7.666666666499999,822.9990301180958,2024-08-29 10:15:00,275.54044749355785,-84.45955250644215,6.177495924697795,0.0,44.71306831803639,1.415768275,1.2559087234338122,59.13837281933064,1.3297232543613386,2.141190292327231,2.0756651114262583,,21.50446080201373,1.0420080342426339,1.3786040195269393,21.50446080201373,1.65,0.24689930484275635,0.24649966784813546,,0.24536655870581825,21.880023316830453,1.661526504294208,0.26388194418101624
2024-08-29 10:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.5,台风(TY),13,40,963,北,7.555555555333333,822.4807579578545,2024-08-29 10:30:00,275.1570960701889,-84.84290392981109,6.177495924697795,0.0,45.01843218425418,1.40668995,1.265932995657984,59.36649440696363,1.3282670111860726,2.113555127194481,2.049712856860676,,21.50530580201373,1.064178417949924,1.275671146559084,21.50530580201373,1.6416666666666666,0.2480195442795221,0.24761655264264545,,0.24660417969032977,21.85496918524988,1.652343673096567,0.2641034255914881
2024-08-29 10:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.550000000000004,台风(TY),13,40,964,北,7.444444444166667,821.9995567867479,2024-08-29 10:45:00,274.7732772064994,-85.22672279350058,6.177495924697795,0.0,45.32127119126527,1.397611625,1.2749270471183394,59.5919203330593,1.3268161593338814,2.0849532759016327,2.0228281204928047,,21.506150802013728,1.087312731383618,1.1760855187558974,21.506150802013728,1.6333333333333333,0.24899530410912263,0.24858941628570272,,0.24769658074038148,21.8298657360466,1.6431674388805553,0.2643092312929913
2024-08-29 11:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.4,32.6,台风(TY),13,40,965,北,7.333333333,821.5554917460169,2024-08-29 11:00:00,274.389024847812,-75.01032295016506,4.713636274149359,349.39934779797704,45.621506540693474,1.3885333,1.3115827301359246,59.81461326001841,1.3253707734799631,2.1004529393102445,2.0374544213852603,,21.50699580201373,1.111475236525476,1.0938101968551948,21.50699580201373,1.625,0.2530864235491208,0.25266738645127884,,0.2491412263240207,22.472499559588197,1.654180153667238,0.17500625306104442
2024-08-29 11:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.38333333333333,32.625,台风(TY),13,39,966,北,7.222222221916667,819.7907503602245,2024-08-29 11:15:00,274.19569166270605,-56.50003353252964,3.542320837278012,330.6957251952357,45.873748598690064,1.3796743375,1.3520764571018091,60.00452643740402,1.3239909471251918,2.122770633406894,2.058470330629657,,21.928017938352014,1.0806096955111677,1.203195079897057,21.928017938352014,1.6166666666666667,0.26653081950109225,0.26606629926779163,,0.25822090999984226,23.95781025373412,1.676526113804296,0.09883773319624257
2024-08-29 11:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.36666666666667,32.65,台风(TY),13,38,968,北,7.111111110833333,818.035432529978,2024-08-29 11:30:00,274.00153540383525,-56.7010305477753,3.5420836244711302,330.7025659516105,46.32251810402088,1.362175775,1.361831768089239,60.34511501346384,1.3213097699730725,2.060812171641828,2.00014829570754,,22.357481742137608,1.0747568581759739,1.1947537443301428,22.357481742137608,1.6,0.27709087650593744,0.27658905074314044,,0.2690315375719905,24.41603178502945,1.6589275680797142,0.09931335646320555
2024-08-29 11:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.35,32.675,台风(TY),12,38,969,北,6.99999999975,816.2895971667306,2024-08-29 11:45:00,273.80655529455225,-56.90285698375613,3.5418463005360947,330.7094122783084,46.56442429840968,1.3533168125,1.3689285206858417,60.52581692208305,1.3199483661558338,2.0331972987136737,1.9741321215179668,,22.35790424213761,1.100970440082705,1.0948489483892416,22.35790424213761,1.5916666666666666,0.2785740066764717,0.2780669771914272,,0.2706445906814068,24.405426235030276,1.6499721763434103,0.0997886538161429
2024-08-29 12:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.33333333333334,32.7,台风(TY),12,37,970,北,6.888888888666666,814.5533033549304,2024-08-29 12:00:00,273.61075062748864,-57.105513548426586,3.541608865630549,330.7162641759152,46.80283275290374,1.3444578500000002,1.3747927337661778,60.70341762363553,1.318593164752729,2.004549289697465,1.947119712426908,,22.795979142307527,1.0698817491586243,1.184602781104637,22.795979142307527,1.5833333333333333,0.2885310036108564,0.28798732531165006,,0.2808102116525504,24.872263687929127,1.641018076946145,0.10026358152886744
2024-08-29 12:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.31666666666666,32.725,台风(TY),12,36,971,北,6.777777777583333,812.8266103469543,2024-08-29 12:15:00,273.4141207658705,-57.30900087912619,3.5413713199130066,330.7231216449967,47.03767693567294,1.3355988875000002,1.3793702242348758,60.87788667554784,1.3172442266489042,1.9748634019063616,1.9191041973060683,,23.24283796833129,1.0388018556757335,1.277556581630833,23.24283796833129,1.575,0.2985361602058063,0.29795438451537115,,0.29104898542761504,25.348170384230286,1.632065295719204,0.10073809539780994
2024-08-29 12:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.3,32.75,台风(TY),12,35,972,北,6.666666666499999,811.1095775579184,2024-08-29 12:30:00,273.2166651448409,-57.51331954122861,3.541133663542856,330.7299846860695,47.268891068018526,1.326739925,1.3826065940489656,61.04919411133172,1.3159016117773366,1.944135239865396,1.8900789285536963,,23.698657018461528,1.0077314541688631,1.3731708093853072,23.698657018461528,1.5666666666666667,0.30855981353610673,0.30793859433154913,,0.30133136671562966,25.83332081493069,1.623113858790053,0.10121215074530233
2024-08-29 12:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.28333333333333,32.775,台风(TY),12,34,974,北,6.5555555554166665,809.4022645603343,2024-08-29 12:45:00,273.01838327278585,-57.71847002689992,3.5408958966791584,330.7368532996858,47.673081644916046,1.3092413625,1.377238248710924,61.35152326843336,1.3132969534631331,1.871084243691648,1.8209492347724523,,24.163616129354352,1.0038010729870706,1.3436322640695408,24.163616129354352,1.55,0.31742261454532184,0.31676549074702487,,0.31059981217077137,26.327892790771653,1.605531900643324,0.10168570242301855
2024-08-29 13:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.26666666666665,32.8,台风(TY),12,33,975,北,6.4444444443333335,807.7047310786497,2024-08-29 13:00:00,272.8192747326651,-57.92445275381135,3.5406580194789594,330.7437274864765,47.89280191732532,1.3003824000000002,1.3761970110485606,61.51309014193952,1.3119738197161208,1.8373921137455724,1.7890261441817148,,24.637898747087068,1.0,1.3478250459539964,24.637898747087068,1.5416666666666667,0.32702527484088506,0.32632810247892746,,0.32051706357891874,26.83206750494493,1.5965849349776897,0.10215870481561162
2024-08-29 13:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.25,32.825,台风(TY),12,32,976,北,6.33333333325,806.0170369836252,2024-08-29 13:15:00,272.61933918334614,-58.13126806355024,3.540420032102589,330.7506072468964,48.10864099774614,1.2915234375000002,1.3736043493417895,61.67138210164734,1.3106572357967052,1.8026474790127052,1.7560727247725303,,25.121691999601286,1.0,1.3388485304206768,25.121691999601286,1.5333333333333334,0.33650554606348493,0.33576769535650125,,0.3303358664391993,27.346029597011032,1.587639404480915,0.10263111184505552
2024-08-29 13:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.23333333333332,32.85,台风(TY),11,32,978,北,6.222222222166667,804.3392422865685,2024-08-29 13:30:00,272.4185763609416,-58.33891622061367,3.540181934708364,330.7574925815552,48.48054459048262,1.274024875,1.3563029465754752,61.94705074994895,1.308105898500102,1.7223057214702706,1.6797275196062134,,25.122114499601285,1.0003277128729284,1.2647204542016723,25.122114499601285,1.5166666666666666,0.33332013559653006,0.33259642025101505,,0.3274764249070472,27.333492190433542,1.5700685860178234,0.10310287697453471
2024-08-29 13:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.21666666666667,32.875,台风(TY),11,31,979,北,6.111111111083334,802.6714071334587,2024-08-29 13:45:00,272.21698608014793,-58.5473974108848,3.539943727456188,330.7643834910328,48.68417372856468,1.2651659125,1.3488350870782355,62.09528126614924,1.3068094374677013,1.6845888701158316,1.643834066481981,,25.615609270599933,1.0,1.2537933836284623,25.615609270599933,1.5083333333333333,0.34173939042862855,0.3409789835111806,,0.3362661994742595,27.85709156121779,1.5611277434806752,0.10357395321315573
2024-08-29 14:00:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.2,32.9,强热带风暴(STS),11,30,980,东北,6.0,801.0135917988661,2024-08-29 14:00:00,272.01456823558766,-72.35008164045803,1.6037349053275634,344.3646498760457,48.88368545321083,1.25630695,1.3692541914393672,62.24013195702262,1.3055197360859547,1.6819089181654974,1.6412896946863695,,26.1190002749275,1.0,1.2560266209270665,26.1190002749275,1.5,0.35429757300314435,0.3534806305687861,,0.35158647127003917,27.370395506911375,1.5287467794053007,0.0405972736058131
2024-08-29 14:15:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.20833333333331,32.9,强热带风暴(STS),11,30,980,东北,6.166666666666667,801.7911225534828,2024-08-29 14:15:00,272.0171484012565,-177.97832514496963,0.8644580476775692,89.99547354622621,48.88368545321083,1.25630695,1.3972890346637783,62.24013195702262,1.3055197360859547,1.7159459688758574,1.6736925782282164,,26.1190002749275,1.0,1.2693490853891198,26.1190002749275,1.5,0.3579853108098838,0.3571512914273362,,0.36406381452473724,22.090765257781502,1.407464260314446,0.040471207233266804
2024-08-29 14:30:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.21666666666667,32.9,强热带风暴(STS),11,30,980,东北,6.333333333333333,802.5686520750307,2024-08-29 14:30:00,272.01972798609336,-177.97574556013285,0.8644580476775692,89.99547354622621,48.88368545321083,1.25630695,1.3943783442400814,62.24013195702262,1.3055197360859547,1.712330787524543,1.6702516357436088,,26.1190002749275,1.0,1.2670005824210868,26.1190002749275,1.5,0.35712864350193385,0.35629860286658993,,0.36322515792422294,22.090771663794527,1.4074644074719855,0.04034553253256295
2024-08-29 14:45:00,202410.0,珊珊,Shanshan,2024-08-22 02:00:00,2024-08-30 20:00:00,130.225,32.9,强热带风暴(STS),11,30,980,东北,6.5,803.3461803622073,2024-08-29 14:45:00,272.02230699185327,-177.97316655437294,0.8644580476760951,89.99547354622621,48.88368545321083,1.25630695,1.3914762053370353,62.24013195702262,1.3055197360859547,1.7087262217017667,1.666820453867773,,26.1190002749275,1.0,1.2646584695920637,26.1190002749275,1.5,0.35627482754989614,0.3554487429932113,,0.3623892177460988,22.09077807653217,1.4074645547840017,0.04022024828641997
